Season,TID,OffScore,DefScore,OverallScore,BalanceScore,OffScoreW,DefScoreW,OverallScoreW,BalanceScoreW,MinOffScore,MaxOffScore,MinDefScore,MaxDefScore,MinOverallScore,MaxOverallScore,MinBalanceScore,MaxBalanceScore,Height,Weight,BMI,HQP,MQP,LQP,Pos1Q,Pos3Q,Pos5Q
2012,1101,,,,,,,,,,,,,,,,,,,,,,,,,
2012,1102,47.955435188215986,48.881106450279304,48.797981517695455,51.75775594933048,53.50697041592378,51.50737294746552,53.59884410018903,52.47771193874047,26.904511886917913,65.21793966247839,33.82927130672962,63.052444393605874,28.000057100362316,65.37228661763238,37.153330318742455,79.68479958158878,76.78758858825266,195.84355436066116,23.366437352654053,5.0,6.25,0.0,51.55610300464878,52.20504383641559,65.37228661763238
2012,1103,52.70015906663264,54.87903833790376,53.891561156527615,47.5964388224958,58.072467087804505,57.88599295913456,58.24904370830942,47.71035745418702,23.507089374508595,86.6733172031613,33.61936401914261,87.62359260114928,29.58846087603764,74.9728196742461,28.884727842098957,73.01652787761,77.77847458363556,212.08397543217114,24.63855509743832,2.0,6.0,0.0,54.29882834667058,57.253417414702376,74.9728196742461
2012,1104,62.682878360363134,75.46846873803553,72.4510923615079,48.914790980025174,64.66549994271743,77.85078259207819,75.03214069941285,49.5568257509315,42.61615133046536,81.79217053412596,55.52455965908177,97.94521662456381,48.365971968250825,92.00832166089188,30.32965894955259,81.79575798869968,76.71302644998813,214.44737945500285,25.621614678296062,3.0,3.25,0.0,68.15387343979653,86.54556081937223,0.0
2012,1105,38.300486492966634,39.77446676806852,38.396000004558445,58.39149408710429,40.32137781867493,43.01475057625168,41.42960357179132,63.08814668850819,21.858914589863037,53.17802437286617,24.25030615181021,70.92354803454381,26.366383666913958,62.30934308236417,36.86091198530622,113.19849769304622,73.67131035711058,188.14383848093001,24.369810934535817,1.0,3.0,2.0,41.42960357179132,0.0,0.0
2012,1106,36.38153429113304,49.57175525275016,41.637198571374284,45.697625979988764,40.15367197027156,52.724335561096815,45.647761954599005,48.04788753371393,21.425739594287265,58.84973620861579,36.834060311087335,77.69970770988105,26.57383735376024,68.3054036248005,34.22681409236385,75.28545977991624,74.7637680223681,180.6099352641484,22.764276689803687,0.0,2.75,1.0,47.04746427270298,26.57383735376024,0.0
2012,1107,59.64718948235818,41.644119675871764,49.56800749941767,40.54814220238281,64.9098024410956,42.02582700309021,51.721109486219554,37.317195638612475,30.513771058896367,91.64188317227396,29.901262467508868,57.51134416627742,33.55475976774123,71.17566185384521,23.44015598875421,57.27900503466896,75.14861497832138,200.14313614384733,24.8547806249863,1.0,4.0,0.0,52.90835086390865,45.076765859687896,0.0
2012,1108,40.67823307753809,45.27406725677088,42.45301972593681,53.09187268276001,40.33433749210931,44.32689731732932,41.728109532370404,52.984393064778,31.27746051205882,48.34363137077183,22.095199697659925,71.57713772486515,24.335508808177384,54.705314133077096,31.255664732619653,76.50428895009374,75.9702024530136,190.77869424846642,23.2454626603063,2.0,4.0,2.0,37.46684419483707,48.44070901044291,0.0
2012,1110,47.29366017770616,46.59844183943802,47.23225976003238,50.71420283793561,52.4412690275187,48.74825507162061,50.97179600560967,48.63159960477907,29.79462689250369,78.30036737433501,33.876811089907136,65.78654704730201,31.3929234131529,73.55326765400453,36.590682330439016,76.54210821174874,74.66697786907356,191.45556781273194,24.10762080528069,3.0,6.0,0.0,45.955642981761294,60.46402527830969,0.0
2012,1111,47.00783780673547,43.07692490717718,45.15017412073644,61.260181698186166,48.16806417659116,44.470864729005925,46.70973920194276,60.99681064206419,25.206794653833313,64.87752374639234,24.239497157698224,71.35465082032059,20.902000360070982,73.77648931549425,40.66205735671281,90.02062289206681,75.82730092991274,205.0908847500821,25.045311492498218,2.0,3.0,1.0,40.82617526052265,57.646172703019964,0.0
2012,1112,61.554758920165234,60.67724688568912,63.721345782567504,47.30990271152256,66.43091735444821,64.44261831916246,69.05468736158289,47.80421977049548,32.596131435827374,96.39900875479489,40.72966296592681,89.050627551389,35.3689506880925,99.73501006416038,34.3476542445466,61.720128033698614,76.44849252084545,205.86007804651555,24.775101020873134,3.0,7.25,0.0,65.67056367133308,79.01650555577832,35.3689506880925
2012,1113,50.37642979106141,43.40974568493175,46.836583004674566,54.4539480238714,50.002532743585334,43.847724593500196,46.95601673037108,57.84326784958892,44.05903796060171,57.936920623752684,27.788139918840972,62.7626677266076,34.22966959748015,56.95516635499829,33.7536997116067,113.06093814938856,77.24585208692493,207.32338816035173,24.44328667537021,0.0,4.0,0.0,47.42778160930975,45.71804726091593,0.0
2012,1114,44.32911049853611,54.15189327279063,48.95842965390712,49.07056998333504,48.0751596412973,57.96136612894878,53.40335467378244,50.21519527324943,32.029880664262265,63.74092882625011,40.86029001216567,76.48180597737617,35.4080618054615,67.68345687209062,24.52235504674972,68.63269960900756,75.24535374233297,196.47924241711962,24.264609755645598,1.0,5.75,0.0,54.19386363908897,52.43025376810157,0.0
