PlayerID,LastName,FirstName,TeamID
1,Albright,Christian,1101
2,Cameron,Tobias,1101
3,Cobb,Chase,1101
4,Cooke,Austin,1101
5,Crnic,Jovan,1101
6,Daniels,Damien,1101
7,Farquhar,Hayden,1101
8,Foster,Tevin,1101
9,Franklin,Jaylen,1101
10,Friday,Jalone,1101
11,Gayman,Clay,1101
12,Grant,Michael,1101
13,Green,Drake,1101
14,Hanson,David,1101
15,Hawkins,Harrison,1101
16,Hiepler,Paul,1101
17,Howell,Hayden,1101
18,Kohl,Kolton,1101
19,Langston,Diamante,1101
20,Lenox,Trey,1101
21,Lewis,Jaren,1101
22,Little,Jalen,1101
23,Mason,Coryon,1101
24,Maura,K.J.,1101
25,Maxwell,B.J.,1101
26,Miller,Reggie,1101
27,Milosavljevic,Alexsander,1101
28,Morris,Mahki,1101
29,Payne,Riley,1101
30,Pleasant,Joe,1101
31,Porter,Duran,1101
32,Reynolds,Jadon,1101
33,Ricks,Payten,1101
34,Simmons,Airion,1101
35,Tripp,Isaiah,1101
36,Wentz,Parker,1101
37,Williams,Ladarrien,1101
38,Abbott,Malik,1102
39,Akaya,Ameka,1102
40,Anderson,Jason,1102
41,Broekhuis,Kyle,1102
42,Brown,LeSean,1102
43,Chacon,Jace,1102
44,Couper,Zach,1102
45,Culp,Keegan,1102
46,Dewane,Jonathan,1102
47,Earls,Delovell,1102
48,Edwards,James,1102
49,Graham,Hayden,1102
50,Hammonds,Justin,1102
51,Hughes,Bryce,1102
52,Hummer,Danny,1102
53,Jackson,Nikc,1102
54,James,Dezmond,1102
55,Joyce,Chris,1102
56,Kinrade,Abe,1102
57,Kocur,Zach,1102
58,Leonard,Brendan,1102
59,Louder,Pervis,1102
60,Lutes,Jake,1102
61,Lyons,Trevor,1102
62,Manning,Ryan,1102
63,Moer,Zach,1102
64,Monson,Isaac,1102
65,Mooney,Matt,1102
66,Morris,Caleb,1102
67,Murphy,Carter,1102
68,Norman,Dane,1102
69,O'Briant,Charlie,1102
70,Olesinski,Marek,1102
71,Pierre-Louis,Solomon,1102
72,Rene,Nick,1102
73,Scottie,Lavelle,1102
74,Siples,CJ,1102
75,Swan,Ryan,1102
76,Taylor,Mason,1102
77,Tomes,Sid,1102
78,Toohey,Frank,1102
79,Tuss,Joe,1102
80,Van,Jacob,1102
81,Van Soelen,Keaton,1102
